id,name,address,lat,lon,stars,amenities,image_urls
A-35201,Fortune Select JP Cosmos - Member ITC Hotel Group,"No 49 Cunningham Crescent Road, Behind Sigma Mall, Karnataka560052, India",12.989634,77.59486,5,Jacuzzi|Spa|Swimming pool|Bar|Sauna|Lounge,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-35201/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-35201/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-35201/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-35201/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-35201/4.jpg
A-45457,Hotel O S.L.V Boarding & Lodging,"678/1Near Railway Bridge, M R Layout, Hosur Main Road, Chandapura",12.80240351,77.70850513,1,Air conditioning|24-hour front desk|Housekeeping|Air conditioning|24-hour front desk|Housekeeping,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-45457/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-45457/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-45457/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-45457/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-45457/4.jpg
A-19390,Sun International Hotel and Resorts,"6 J C Road 1st Cross Near Minerva circle, Karnataka560002, India",12.956322,77.580338,2,Airport shuttle service|Valet parking|Smoke-free property|Terrace|Accessible parking|Bell staff/porter,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-19390/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-19390/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-19390/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-19390/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-19390/4.jpg
A-90037,St.Marks Hotel,"4/1, St. Mark&#39;s Road, 560001 Bangalore, India",12.969192999999999,77.60016999999999,5,Spa|Bar|Shuttle service|Airport shuttle service|Shuttle to local attractions|Multilingual staff,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-90037/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-90037/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-90037/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-90037/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-90037/4.jpeg
A-54489,Housr Benson Marathahalli Bangalore,"Tulsi Theater Rd Marathahalli, KA, 560037",12.949316,77.698199,3,Coffee shop|Valet parking|Parking|Concierge desk|24-hour front desk,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-54489/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-54489/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-54489/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-54489/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-54489/4.jpg
A-99547,Alcott Hotel & Resorts,"27th Cross Rd, 14/A/37, KA560011, India",12.93063,77.58117,3,Picnic area|Butler service|Room service|Parking|On-site parking,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-99547/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-99547/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-99547/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-99547/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-99547/4.jpg
A-08866,VISTA LIVING,"319, 8th cross, KPC Layout, Kasavanahalli.",12.904143,77.67891,3,Parking|Parking,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-08866/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-08866/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-08866/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-08866/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-08866/4.jpg
A-53796,Hotel O Royal Grand Residency Near Lalbagh Botanical Garden,"R.V Road, Near Minerva Circle, Bangalore Karnataka, India, Bangalore, Bangalore, 560004 Bangalore, India",12.95425,77.58014,2,Airport shuttle service|Multilingual staff|Room service|Parking|Laundry service|Air conditioning,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-53796/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-53796/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-53796/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-53796/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-53796/4.jpeg
A-13575,Super Hotel O Ramachandrapuram formerly known Nataraja Boarding & Lodging,"Plot Number 109 Near Sujata Theatre, Ramachandrapuram Main Road",13.063766479492188,77.55220794677734,3,Room service|Non-smoking room|Housekeeping - daily|Air conditioning|Bell staff/porter,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-13575/0.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-13575/1.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-13575/2.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-13575/3.jpg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-13575/4.jpg
A-89536,Treebo Emora Grand,"Brindavan Layout, Near Decathlon, Opp. Relience Petrol Pump, New International Airport Road Chikkajala, 562157 Yelahanka, India",13.16315,77.63244,3,Room service|Parking|Laundry service|Air conditioning|Bell staff/porter|Restaurant,https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-89536/0.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-89536/1.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-89536/2.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-89536/3.jpeg|https://storage.googleapis.com/hotels-assignment-assets-2c4f/img/a/A-89536/4.jpeg
